,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,1,2006.0,1,41.49,29.02,3.77,8.46,82.74
1,2,1985.0,2,29.08,3.58,6.81,0.77,40.24
2,1,2008.0,3,15.85,12.88,3.79,3.31,35.82
3,1,2009.0,1,15.75,11.01,3.28,2.96,33.0
4,3,1996.0,4,11.27,8.89,10.22,1.0,31.37
5,3,1989.0,5,23.2,2.26,4.22,0.58,30.26
6,4,2006.0,2,11.38,9.23,6.5,2.9,30.01
7,1,2006.0,6,14.03,9.2,2.93,2.85,29.02
8,1,2009.0,2,14.59,7.06,4.7,2.26,28.62
9,2,1984.0,7,26.93,0.63,0.28,0.47,28.31
10,4,2005.0,8,9.07,11.0,1.93,2.75,24.76
11,4,2005.0,3,9.81,7.57,4.13,1.92,23.42
12,3,1999.0,4,9.0,6.18,7.2,0.71,23.1
13,1,2007.0,1,8.94,8.03,3.6,2.15,22.72
14,1,2009.0,1,9.09,8.59,2.53,1.79,22.0
15,5,2010.0,6,14.97,4.94,0.24,1.67,21.82
16,6,2013.0,9,7.01,9.27,0.97,4.14,21.4
17,7,2004.0,9,9.43,0.4,0.41,10.57,20.81
18,8,1990.0,2,12.78,3.75,3.54,0.55,20.61
19,4,2005.0,6,4.75,9.26,4.16,2.05,20.22
20,4,2006.0,4,6.42,4.52,6.04,1.37,18.36
21,3,1989.0,2,10.83,2.71,4.18,0.42,18.14
22,2,1988.0,2,9.54,3.44,3.84,0.46,17.28
23,5,2013.0,9,9.63,5.31,0.06,1.38,16.38
24,7,2002.0,9,8.41,5.49,0.47,1.78,16.15
25,9,2002.0,4,6.06,3.9,5.38,0.5,15.85
26,4,2010.0,4,5.57,3.28,5.65,0.82,15.32
27,4,2005.0,5,3.44,5.36,5.32,1.18,15.3
28,7,2001.0,3,6.85,5.09,1.87,1.16,14.98
29,5,2011.0,7,9.03,4.28,0.13,1.32,14.76
30,3,1998.0,4,5.89,5.04,3.12,0.59,14.64
31,5,2010.0,7,9.67,3.73,0.11,1.13,14.64
32,10,2013.0,4,5.17,4.05,4.34,0.79,14.35
33,11,2015.0,7,5.77,5.81,0.35,2.31,14.24
34,6,2012.0,7,4.99,5.88,0.65,2.52,14.03
35,5,2012.0,7,8.25,4.3,0.07,1.12,13.73
36,5,2009.0,7,8.52,3.63,0.08,1.29,13.51
37,6,2011.0,7,5.54,5.82,0.49,1.62,13.46
38,7,2001.0,9,6.99,4.51,0.3,1.3,13.1
39,1,2008.0,10,6.75,2.61,2.66,1.02,13.04
40,6,2010.0,7,5.98,4.44,0.48,1.83,12.73
41,4,2005.0,8,2.55,3.52,5.33,0.88,12.27
42,10,2011.0,3,4.74,3.91,2.67,0.89,12.21
43,5,2007.0,7,7.97,2.83,0.13,1.21,12.14
44,11,2014.0,9,3.8,5.81,0.36,2.02,11.98
45,4,2009.0,9,4.4,2.77,3.96,0.77,11.9
46,12,1996.0,2,6.91,2.85,1.91,0.23,11.89
47,7,2004.0,3,3.01,0.01,1.1,7.53,11.66
48,1,2007.0,2,6.16,3.4,1.2,0.76,11.52
49,10,2014.0,4,4.23,3.37,3.08,0.65,11.33
50,3,1992.0,11,6.16,2.04,2.69,0.29,11.18
51,5,2008.0,9,6.76,3.1,0.14,1.03,11.02
52,13,1997.0,3,4.02,3.87,2.54,0.52,10.95
53,10,2011.0,2,4.89,2.99,2.13,0.78,10.79
54,6,2010.0,3,2.96,4.88,0.81,2.12,10.77
55,6,2009.0,7,4.99,3.69,0.38,1.63,10.69
56,6,2008.0,9,4.76,3.76,0.44,1.62,10.57
57,8,1993.0,2,5.99,2.15,2.12,0.29,10.55
58,9,2004.0,4,4.34,2.65,3.15,0.35,10.49
59,4,2004.0,2,5.08,3.11,1.25,0.98,10.42
60,1,2011.0,6,6.05,3.15,0.0,1.07,10.26
61,5,2013.0,7,6.72,2.63,0.04,0.82,10.21
62,5,2010.0,7,7.03,1.98,0.08,0.78,9.88
63,12,1996.0,3,5.55,1.94,2.23,0.15,9.87
64,10,2012.0,2,3.66,3.07,2.47,0.63,9.82
65,5,2012.0,7,6.63,2.36,0.04,0.73,9.76
66,13,1997.0,4,3.01,2.47,3.28,0.96,9.72
67,6,2013.0,7,4.09,3.73,0.38,1.38,9.59
68,1,2010.0,6,5.84,2.89,0.01,0.78,9.52
69,13,1999.0,3,3.88,3.42,1.69,0.5,9.49
70,5,2007.0,7,5.91,2.38,0.13,0.9,9.32
71,8,1994.0,2,4.36,1.71,3.0,0.23,9.3
72,5,2013.0,6,5.58,2.83,0.02,0.77,9.2
73,10,2012.0,8,2.01,2.32,4.36,0.41,9.09
74,4,2007.0,6,4.46,1.88,1.98,0.7,9.02
75,5,2011.0,4,5.03,2.86,0.1,0.85,8.84
76,8,1992.0,3,3.54,1.24,3.81,0.18,8.76
77,11,2015.0,1,1.11,6.06,0.06,1.26,8.49
78,1,2010.0,6,1.79,3.53,2.49,0.68,8.49
79,14,2004.0,7,6.82,1.53,0.05,0.08,8.49
80,1,2007.0,6,3.81,2.3,1.58,0.73,8.42
81,4,2012.0,4,2.91,1.86,3.14,0.43,8.33
82,6,2012.0,9,1.06,5.05,0.13,2.01,8.24
83,15,2009.0,8,0.98,6.42,0.0,0.71,8.11
84,12,1997.0,7,5.8,2.01,0.13,0.15,8.09
85,1,2007.0,1,2.58,3.9,0.66,0.91,8.06
86,7,2001.0,4,2.91,2.07,2.73,0.33,8.05
87,13,1999.0,4,2.28,1.72,3.63,0.23,7.86
88,4,2008.0,4,2.82,1.78,2.69,0.55,7.84
89,16,1982.0,5,7.28,0.45,0.0,0.08,7.81
90,17,2005.0,9,2.9,2.83,0.24,1.75,7.72
91,1,2010.0,2,3.66,2.42,0.98,0.64,7.69
92,11,2015.0,7,2.93,3.29,0.22,1.23,7.67
93,11,2014.0,7,2.8,3.3,0.14,1.37,7.6
94,12,1998.0,9,4.1,1.89,1.45,0.16,7.6
95,13,1997.0,2,3.78,2.17,1.31,0.31,7.58
96,2,1988.0,2,5.39,1.18,0.7,0.19,7.46
97,10,2014.0,10,3.24,1.35,2.42,0.43,7.45
98,5,2008.0,7,4.79,1.9,0.0,0.69,7.37
99,5,2011.0,7,4.46,2.13,0.06,0.69,7.34
100,1,2006.0,9,3.83,2.19,0.6,0.7,7.31
101,18,2015.0,7,4.52,2.09,0.01,0.67,7.3
102,1,2009.0,6,3.51,3.03,0.0,0.73,7.27
103,6,2011.0,7,2.85,2.93,0.35,1.1,7.23
104,7,2003.0,3,3.27,2.83,0.08,1.02,7.2
105,13,1998.0,10,3.27,2.22,1.4,0.29,7.16
106,13,1998.0,2,3.68,1.75,1.42,0.28,7.13
107,19,2001.0,10,4.41,1.04,1.39,0.22,7.07
108,20,2014.0,3,3.13,2.07,1.27,0.49,6.96
109,11,2015.0,4,2.47,3.15,0.24,1.1,6.96
110,19,2003.0,3,4.12,1.77,0.87,0.19,6.95
111,1,2012.0,6,4.14,2.21,0.0,0.56,6.91
112,6,2013.0,1,0.78,4.32,0.07,1.73,6.9
113,7,2004.0,3,2.71,3.02,0.08,1.09,6.9
114,7,2002.0,7,2.93,2.75,0.17,0.99,6.83
115,6,2011.0,9,2.77,2.8,0.19,1.06,6.83
116,13,1996.0,2,3.23,2.35,0.94,0.3,6.82
117,1,2010.0,1,3.5,2.64,0.0,0.67,6.81
118,5,2008.0,7,4.15,1.92,0.06,0.64,6.76
119,6,2009.0,9,3.27,2.25,0.21,1.0,6.73
120,6,2007.0,7,3.1,2.3,0.28,1.04,6.72
121,6,2011.0,1,0.84,4.32,0.11,1.42,6.69
122,4,2005.0,6,1.67,2.78,1.6,0.62,6.67
123,6,2010.0,9,2.79,2.61,0.17,1.03,6.6
124,11,2014.0,1,0.79,4.29,0.05,1.47,6.59
125,1,2010.0,2,3.25,1.84,1.03,0.47,6.59
126,6,2011.0,4,2.55,2.71,0.25,1.05,6.56
127,2,1986.0,9,3.74,0.93,1.69,0.14,6.51
128,6,2012.0,9,2.64,2.56,0.16,1.14,6.5
129,14,2001.0,7,4.98,1.3,0.08,0.07,6.43
130,9,2004.0,4,2.57,1.58,2.06,0.21,6.41
131,7,2002.0,4,3.64,1.2,1.49,0.07,6.4
132,3,2000.0,4,2.55,1.56,1.29,0.99,6.39
133,5,2009.0,7,4.34,1.35,0.06,0.61,6.36
134,5,2010.0,9,3.7,1.97,0.09,0.57,6.34
135,19,2002.0,2,4.01,1.26,0.87,0.17,6.31
136,8,1992.0,10,2.47,0.83,2.87,0.12,6.3
137,15,2004.0,4,0.07,6.21,0.0,0.0,6.28
138,13,1999.0,9,3.11,2.8,0.02,0.33,6.27
139,5,2010.0,1,3.92,1.78,0.03,0.51,6.24
140,5,2011.0,7,4.05,1.62,0.07,0.49,6.24
141,5,2006.0,7,3.54,1.9,0.07,0.6,6.11
142,7,2001.0,9,2.45,2.01,0.87,0.72,6.05
143,21,1992.0,2,4.47,1.2,0.16,0.19,6.03
144,6,2008.0,9,2.63,1.74,0.83,0.83,6.03
145,13,1998.0,9,3.18,1.83,0.78,0.24,6.03
146,6,2013.0,9,2.41,2.28,0.28,1.01,5.99
147,7,2006.0,4,1.88,0.0,2.33,1.74,5.95
148,6,2008.0,2,2.8,2.05,0.17,0.9,5.92
149,4,2009.0,4,0.66,0.69,4.35,0.15,5.84
150,1,2007.0,9,3.66,1.63,0.0,0.53,5.83
151,13,1998.0,9,1.88,1.47,2.02,0.45,5.82
152,13,1996.0,10,2.26,1.89,1.36,0.23,5.74
153,4,2006.0,8,3.13,1.94,0.07,0.58,5.72
154,11,2014.0,7,2.49,2.05,0.16,0.96,5.65
155,2,1988.0,5,2.97,0.69,1.81,0.11,5.58
156,6,2009.0,9,2.54,1.95,0.21,0.87,5.57
157,12,1999.0,10,2.95,0.6,1.97,0.04,5.55
158,5,2007.0,11,3.28,1.65,0.07,0.55,5.55
159,6,2011.0,9,2.7,1.91,0.11,0.8,5.53
160,5,2009.0,3,2.99,1.92,0.1,0.51,5.51
161,17,2008.0,4,0.47,0.57,4.13,0.34,5.5
162,9,2001.0,2,3.14,1.24,0.91,0.2,5.49
163,9,2001.0,3,2.62,1.64,0.99,0.23,5.47
164,9,2001.0,2,3.21,1.11,0.95,0.2,5.46
165,12,1999.0,12,3.18,1.24,0.94,0.09,5.45
166,6,2008.0,7,2.72,1.87,0.0,0.84,5.43
167,7,2001.0,2,2.07,2.29,0.24,0.82,5.42
168,6,2014.0,6,1.97,2.51,0.0,0.94,5.42
169,6,2009.0,4,1.74,1.24,1.87,0.52,5.36
170,3,1989.0,5,2.18,0.96,2.0,0.2,5.34
171,3,1999.0,6,3.02,1.12,1.01,0.16,5.31
172,5,2012.0,9,3.13,1.71,0.03,0.44,5.3
173,13,2000.0,4,1.62,0.77,2.78,0.14,5.3
174,7,2003.0,4,1.92,1.08,2.11,0.17,5.29
175,12,1999.0,2,3.33,0.79,1.09,0.06,5.27
176,5,2009.0,9,3.1,1.56,0.08,0.51,5.27
177,4,2007.0,5,1.22,2.48,1.03,0.52,5.26
178,13,1997.0,9,2.3,2.46,0.2,0.28,5.24
179,7,2006.4064433147546,1,4.26,0.26,0.01,0.71,5.23
180,7,2004.0,4,0.65,0.75,3.61,0.2,5.21
181,15,2012.0,4,2.43,2.15,0.0,0.62,5.2
182,9,2003.0,2,2.93,1.25,0.83,0.2,5.2
183,20,2012.0,2,2.32,1.3,1.27,0.31,5.19
184,3,1994.0,2,2.49,0.98,1.57,0.15,5.19
185,5,2012.0,9,1.08,3.48,0.03,0.58,5.18
186,4,2007.0,9,1.9,1.83,0.95,0.49,5.17
187,8,1995.0,2,2.1,0.74,2.2,0.11,5.15
188,10,2013.0,8,0.96,2.02,1.89,0.28,5.15
189,4,2008.0,1,1.64,2.48,0.44,0.58,5.14
190,7,2003.0,7,1.98,2.23,0.13,0.8,5.13
191,3,1992.0,2,2.71,0.61,1.7,0.11,5.13
192,5,2010.0,4,3.59,1.11,0.05,0.38,5.13
193,18,2014.0,7,3.21,1.53,0.01,0.38,5.13
194,15,1996.0,8,3.22,1.69,0.0,0.2,5.12
195,7,2006.0,6,3.81,0.63,0.0,0.68,5.12
196,6,2009.0,9,1.96,1.43,1.08,0.65,5.11
197,18,2014.0,9,2.66,2.01,0.0,0.41,5.08
198,17,2006.0,9,1.7,2.02,0.16,1.21,5.08
199,6,2010.0,1,0.6,3.29,0.06,1.13,5.08
200,3,1999.0,2,3.4,1.3,0.15,0.22,5.07
201,13,1996.0,9,2.05,1.16,1.11,0.73,5.05
202,13,1999.0,1,3.42,1.38,0.02,0.2,5.02
203,20,2014.0,10,2.59,1.06,0.8,0.57,5.02
204,13,1999.0,12,2.79,1.89,0.0,0.33,5.01
205,13,1998.0,2,3.36,1.36,0.07,0.21,5.0
206,1,2007.0,7,3.06,1.18,0.29,0.46,5.0
207,7,2007.0,6,3.49,0.01,0.01,1.48,4.98
208,5,2008.0,4,3.39,1.03,0.09,0.44,4.96
209,4,2007.0,4,1.85,1.2,1.54,0.37,4.96
210,6,2007.0,9,2.31,1.73,0.12,0.78,4.94
211,7,2005.0,1,3.98,0.26,0.01,0.66,4.91
212,4,2007.0,9,2.89,1.54,0.0,0.46,4.9
213,12,1997.0,3,2.91,0.99,0.89,0.1,4.88
214,17,2010.0,4,0.0,0.0,4.87,0.0,4.87
215,2,1990.0,5,2.62,0.6,1.52,0.1,4.85
216,6,2010.0,9,2.74,1.36,0.12,0.63,4.84
217,15,2010.0,12,2.56,1.68,0.0,0.59,4.83
218,6,2007.0,11,1.91,2.0,0.09,0.83,4.83
219,6,2014.0,1,0.57,3.14,0.04,1.07,4.82
220,13,1999.0,3,2.57,1.57,0.44,0.21,4.79
